kingdom	phylum	class	order	family	genus	binomial	statut	category	populationTrend	code	name	Occurs in at least one protected area	Note
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	NESOMYIDAE	Brachyuromys	Brachyuromys ramirohitra	endemic	LC	Unknown	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	PILOSA	BRADYPODIDAE	Bradypus	Bradypus pygmaeus	endemic	CR	Decreasing	3.1.1	Harvest management		
ANIMALIA	CHORDATA	MAMMALIA	PILOSA	BRADYPODIDAE	Bradypus	Bradypus pygmaeus	endemic	CR	Decreasing	4.3	Awareness & communications		
ANIMALIA	CHORDATA	MAMMALIA	PILOSA	BRADYPODIDAE	Bradypus	Bradypus pygmaeus	endemic	CR	Decreasing	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	PILOSA	BRADYPODIDAE	Bradypus	Bradypus pygmaeus	endemic	CR	Decreasing	5.4.2	National level		
ANIMALIA	CHORDATA	MAMMALIA	PILOSA	BRADYPODIDAE	Bradypus	Bradypus pygmaeus	endemic	CR	Decreasing	5.4.3	Sub-national level		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Brassomys	Brassomys albidens	endemic	DD	Unknown	NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	ECHIMYIDAE	Brotomys	Brotomys voratus	endemic	EX		NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	BOVIDAE	Bubalus	Bubalus depressicornis	endemic	EN	Decreasing	3.4.1	Captive breeding/artificial propagation		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	BOVIDAE	Bubalus	Bubalus depressicornis	endemic	EN	Decreasing	5.4.2	National level		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	BOVIDAE	Bubalus	Bubalus depressicornis	endemic	EN	Decreasing	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	BOVIDAE	Bubalus	Bubalus depressicornis	endemic	EN	Decreasing	4.3	Awareness & communications		
